condition,algorithm,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread
baseline,tabular,0,50000,0.3657358783634303,0.5894450000000001,0.08651059684480109,0.2,1.0
baseline,tabular,1,50000,0.4009273730494558,0.60819,0.0908957812270769,0.2,1.0
baseline,tabular,2,50000,0.3709113127509778,0.609305,0.08715550363975966,0.2,1.0
baseline,dqn,0,50000,0.36869105273557784,0.636065,0.08687883879130724,0.2,1.0
baseline,dqn,1,50000,0.428774768958066,0.6854,0.09436582325612378,0.2,1.0
baseline,dqn,2,50000,0.3111060562371021,0.62385,0.07970321781949331,0.2,1.0
maker_rebate_only,tabular,0,50000,0.3484620721804743,0.46802,0.12945920744682954,0.1,1.0
maker_rebate_only,tabular,1,50000,0.33656379348926335,0.47435,0.12812838556012868,0.1,1.0
maker_rebate_only,tabular,2,50000,0.3484168531200868,0.488225,0.12945414969714814,0.1,1.0
maker_rebate_only,dqn,0,50000,0.3764933183457002,0.5300249999999999,0.13259450095241354,0.1,1.0
maker_rebate_only,dqn,1,50000,0.3271450285636201,0.51527,0.1270748971662154,0.1,1.0
maker_rebate_only,dqn,2,50000,0.3530598068668254,0.490305,0.12997346384547648,0.1,1.0
taker_fee_only,tabular,0,50000,0.3657358783634304,0.5894450000000001,0.07082888610396969,0.2,1.0
taker_fee_only,tabular,1,50000,0.4009273730494558,0.60819,0.07441917141565615,0.2,1.0
taker_fee_only,tabular,2,50000,0.34828293361135193,0.58646,0.06904831236738596,0.2,1.0
taker_fee_only,dqn,0,50000,0.3626868292373686,0.639675,0.07051781786462442,0.2,1.0
taker_fee_only,dqn,1,50000,0.44018939434406623,0.7035449999999999,0.07842473752243301,0.2,1.0
taker_fee_only,dqn,2,50000,0.3152222969401776,0.6437950000000001,0.06567542015878491,0.2,1.0
random_priority,tabular,0,50000,0.3801052776933809,0.596715,0.08830115635602884,0.2,1.0
random_priority,tabular,1,50000,0.37849795300003436,0.6019950000000001,0.08810086889437384,0.2,1.0
random_priority,tabular,2,50000,0.40467494244159286,0.6114350000000001,0.09136276289172383,0.2,1.0
random_priority,dqn,0,50000,0.36549336668004595,0.631785,0.08648037765530701,0.2,1.0
random_priority,dqn,1,50000,0.4523056072674436,0.6958500000000001,0.09729798244904136,0.2,1.0
random_priority,dqn,2,50000,0.31362929015580754,0.6239600000000001,0.08001763600695182,0.2,1.0
latency_05,tabular,0,50000,0.1963603779198707,0.5887899999999999,0.06540484939326732,0.2,1.0
latency_05,tabular,1,50000,0.2599349299018582,0.627435,0.07332682414736319,0.2,1.0
latency_05,tabular,2,50000,0.17716191770439357,0.563475,0.06301254441583523,0.2,1.0
latency_05,dqn,0,50000,0.20075902609579538,0.61179,0.06595296147137836,0.2,1.0
latency_05,dqn,1,50000,0.2724638769555785,0.6405299999999999,0.07488804635280001,0.2,1.0
latency_05,dqn,2,50000,0.117311955940123,0.57175,0.05555468790959529,0.2,1.0
