condition,algorithm,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread
baseline,tabular,18,500000,0.7724182823184637,0.5999499999999999,0.13718697027767407,0.2,1.0
baseline,tabular,10,500000,0.7724289019928247,0.5999674999999999,0.13718829358691592,0.2,1.0
taker_fee_only,tabular,12,500000,0.7723915464519122,0.5999674999999999,0.1123164638575766,0.2,1.0
taker_fee_only,tabular,0,500000,0.7722670417302472,0.5999449999999998,0.11230376171242995,0.2,1.0
maker_rebate_only,tabular,12,500000,0.908130493176583,0.5999249999999998,0.192058092822335,0.1,1.0
baseline,tabular,15,500000,0.7722694372593534,0.5999574999999999,0.13716842281231595,0.2,1.0
maker_rebate_only,tabular,14,500000,0.3941998516561083,0.624995,0.13457497583274186,0.1,1.0
maker_rebate_only,tabular,1,500000,0.28901104484293966,0.20002000000000003,0.12280961296169733,0.1,1.0
taker_fee_only,tabular,10,500000,0.9331293551691774,0.7998800000000001,0.1287151590201163,0.2,1.0
baseline,tabular,11,500000,0.7724151560434536,0.5999599999999998,0.13718658071501208,0.2,1.0
taker_fee_only,tabular,5,500000,0.9335246015555461,0.8000025000000002,0.12875548260705505,0.2,1.0
taker_fee_only,tabular,17,500000,0.7725061566120414,0.6000099999999998,0.11232815654577166,0.2,1.0
baseline,tabular,9,500000,0.8527361344047717,0.6998475000000001,0.14719531444518333,0.2,1.0
taker_fee_only,tabular,11,500000,0.7724151560434531,0.5999599999999998,0.11231887254099515,0.2,1.0
random_priority,tabular,0,500000,0.7724102161846429,0.5999899999999999,0.13718596516310386,0.2,1.0
baseline,tabular,2,500000,0.7725461921713614,0.5999999999999999,0.13720290902350657,0.2,1.0
baseline,tabular,3,500000,0.7724542296096653,0.5999674999999999,0.13719144964126373,0.2,1.0
maker_rebate_only,tabular,8,500000,0.36972500314544227,0.53575,0.13183746522999035,0.1,1.0
maker_rebate_only,tabular,18,500000,0.9081449437288249,0.5999924999999999,0.19205970911589287,0.1,1.0
taker_fee_only,tabular,19,500000,0.9332308703659178,0.7998350000000002,0.12872551574190438,0.2,1.0
maker_rebate_only,tabular,15,500000,5.9868690589899803e-05,0.10039500000000001,0.09049043811369534,0.1,1.0
baseline,tabular,14,500000,0.7725461921713614,0.5999999999999999,0.13720290902350657,0.2,1.0
random_priority,tabular,3,500000,0.7722009534412623,0.5999649999999999,0.13715988909778604,0.2,1.0
maker_rebate_only,tabular,16,500000,0.34372021296154975,0.483295,0.12892883072629932,0.1,1.0
taker_fee_only,tabular,13,500000,0.9333024670004856,0.7998750000000002,0.1287328201303013,0.2,1.0
maker_rebate_only,tabular,10,500000,0.5984453646544379,0.524905,0.15741982642103802,0.1,1.0
taker_fee_only,tabular,2,500000,0.772546192171361,0.5999999999999999,0.11233224102930532,0.2,1.0
baseline,tabular,7,500000,0.7724395216671859,0.5999924999999999,0.1371896168961578,0.2,1.0
maker_rebate_only,tabular,6,500000,0.4023879006097248,0.25016,0.13549080870568508,0.1,1.0
maker_rebate_only,tabular,4,500000,0.5156900105830037,0.29999999999999993,0.14816364413634361,0.1,1.0
baseline,tabular,13,500000,0.7725208645545213,0.5999924999999999,0.13719975296915882,0.2,1.0
random_priority,tabular,7,500000,0.7721263788404524,0.6000424999999998,0.13715059641562793,0.2,1.0
taker_fee_only,tabular,4,500000,0.772546192171361,0.5999999999999999,0.11233224102930532,0.2,1.0
maker_rebate_only,tabular,3,500000,0.7003690743722365,0.6374475000000002,0.1688199883424753,0.1,1.0
maker_rebate_only,tabular,17,500000,0.36731714185377845,0.6333424999999999,0.13156814606288653,0.1,1.0
random_priority,tabular,2,500000,0.9997471961206437,0.9998425,0.16551424683523677,0.2,1.0
taker_fee_only,tabular,6,500000,0.8529759322453405,0.6999975,0.1205377951550026,0.2,1.0
baseline,tabular,0,500000,0.7723618207913661,0.5999324999999999,0.13717993465133774,0.2,1.0
maker_rebate_only,tabular,7,500000,0.5402275924857721,0.635695,0.15090817146591784,0.1,1.0
baseline,tabular,8,500000,0.9334125770868605,0.7999225000000002,0.1572483423038594,0.2,1.0
baseline,tabular,16,500000,0.9333417334683232,0.7999100000000001,0.15723951453645804,0.2,1.0
taker_fee_only,tabular,16,500000,0.7723649470663756,0.5999724999999999,0.11231375015120963,0.2,1.0
taker_fee_only,tabular,15,500000,0.932773908887209,0.7996375000000001,0.12867889589527234,0.2,1.0
maker_rebate_only,tabular,5,500000,0.523428025067221,0.675,0.14902914067600792,0.1,1.0
random_priority,tabular,5,500000,0.772290372465566,0.5999549999999999,0.13717103153184157,0.2,1.0
maker_rebate_only,tabular,9,500000,0.5852940065102418,0.6570925,0.1559488476591213,0.1,1.0
baseline,tabular,19,500000,0.7723768385094333,0.5999649999999997,0.1371818059973352,0.2,1.0
maker_rebate_only,tabular,13,500000,0.529239498920837,0.6249725,0.14967915374084687,0.1,1.0
taker_fee_only,tabular,3,500000,0.7724315820112315,0.5999599999999998,0.11232054834111024,0.2,1.0
maker_rebate_only,tabular,11,500000,0.3048932604657016,0.5055824999999999,0.12458603799834461,0.1,1.0
taker_fee_only,tabular,8,500000,0.8530467758638778,0.7,0.12054502271965509,0.2,1.0
baseline,tabular,5,500000,0.7724991889523437,0.6000124999999998,0.13719705198947627,0.2,1.0
taker_fee_only,tabular,1,500000,0.7059206737034374,0.59999,0.10553501282194902,0.2,1.0
baseline,tabular,12,500000,0.7724436099353039,0.5999849999999999,0.13719012633202182,0.2,1.0
taker_fee_only,tabular,9,500000,0.7724303102425353,0.5999599999999998,0.1123204185934962,0.2,1.0
baseline,tabular,4,500000,0.7725461921713614,0.5999999999999999,0.13720290902350657,0.2,1.0
maker_rebate_only,tabular,2,500000,0.6892830003574925,0.4000000000000001,0.16758001150890986,0.1,1.0
taker_fee_only,tabular,14,500000,0.772546192171361,0.5999999999999999,0.11233224102930532,0.2,1.0
baseline,tabular,6,500000,0.772363538816665,0.5999474999999999,0.1371801487331145,0.2,1.0
random_priority,tabular,1,500000,0.7725461921713614,0.6000099999999998,0.13720290902350657,0.2,1.0
baseline,tabular,1,500000,0.7725461921713614,0.6000099999999998,0.13720290902350657,0.2,1.0
maker_rebate_only,tabular,19,500000,0.9080772376538607,0.5999349999999999,0.19205213619473652,0.1,1.0
maker_rebate_only,tabular,0,500000,0.5909906417505314,0.5199675000000001,0.15658601603070507,0.1,1.0
taker_fee_only,tabular,18,500000,0.7724182823184632,0.5999499999999999,0.11231919148792677,0.2,1.0
random_priority,tabular,6,500000,0.772350469931875,0.6000124999999998,0.13717852022969382,0.2,1.0
baseline,tabular,17,500000,0.7724658112771343,0.6000049999999998,0.13719289282370764,0.2,1.0
random_priority,tabular,4,500000,0.7725461921713614,0.5999999999999999,0.13720290902350657,0.2,1.0
taker_fee_only,tabular,7,500000,0.7724395216671854,0.5999924999999999,0.11232135835587105,0.2,1.0
random_priority,tabular,9,500000,0.4806458457193113,0.9099425000000001,0.10082943719848833,0.2,1.0
random_priority,tabular,8,500000,0.9996997657366354,0.999765,0.1655083365725141,0.2,1.0
random_priority,tabular,12,500000,0.5978711822924938,0.7666799999999999,0.11543679388322373,0.2,1.0
random_priority,tabular,10,500000,0.7724271839675256,0.6000274999999998,0.13718807950513914,0.2,1.0
random_priority,tabular,14,500000,0.7725461921713614,0.5999999999999999,0.13720290902350657,0.2,1.0
random_priority,tabular,15,500000,0.8530467758638781,0.7,0.14723402323226709,0.2,1.0
random_priority,tabular,11,500000,0.9333711493532815,0.7999000000000002,0.15724318002666984,0.2,1.0
random_priority,tabular,13,500000,0.7778691485933887,0.6799799999999999,0.1378661984227681,0.2,1.0
random_priority,tabular,16,500000,0.7723113020386999,0.5999774999999998,0.1371736395494337,0.2,1.0
random_priority,tabular,17,500000,0.7725461921713614,0.5999999999999999,0.13720290902350657,0.2,1.0
random_priority,tabular,19,500000,0.8483766512814708,1.0496799999999997,0.14665208269337354,0.2,1.0
random_priority,tabular,18,500000,0.5997372297859158,0.54999,0.11566932058883106,0.2,1.0
latency_05,tabular,1,500000,0.7725381670824214,0.6000099999999998,0.13720190902350657,0.2,1.0
latency_05,tabular,2,500000,0.7725461921713614,0.5999999999999999,0.13720290902350657,0.2,1.0
latency_05,tabular,3,500000,0.7724681933392676,0.5999824999999999,0.13719318965059032,0.2,1.0
latency_05,tabular,0,500000,0.7722502983767082,0.6000049999999998,0.13716603793125254,0.2,1.0
latency_05,tabular,4,500000,0.7725461921713614,0.5999999999999999,0.13720290902350657,0.2,1.0
latency_05,tabular,5,500000,0.7724501368891525,0.5999899999999998,0.13719093965059032,0.2,1.0
latency_05,tabular,6,500000,0.7724440423487995,0.5999874999999998,0.1371901802147263,0.2,1.0
latency_05,tabular,7,500000,0.772494118978632,0.59998,0.1371964202240529,0.2,1.0
latency_05,tabular,10,500000,0.772284688810056,0.5999474999999999,0.13717032329601359,0.2,1.0
latency_05,tabular,11,500000,0.7721791435655992,0.5998924999999999,0.13715717138639041,0.2,1.0
latency_05,tabular,12,500000,0.7721347501920937,0.5999374999999998,0.13715163956314988,0.2,1.0
latency_05,tabular,13,500000,0.7724554114929809,0.6000124999999998,0.13719159691481103,0.2,1.0
latency_05,tabular,9,500000,0.9333197554574775,0.7999000000000002,0.15723677587387,0.2,1.0
latency_05,tabular,14,500000,0.7725461921713614,0.5999999999999999,0.13720290902350657,0.2,1.0
latency_05,tabular,15,500000,0.7722796535151114,0.5999174999999999,0.13716969585188404,0.2,1.0
latency_05,tabular,8,500000,0.7724674491263908,0.5999849999999999,0.13719309691481102,0.2,1.0
latency_05,tabular,16,500000,0.7723074389177335,0.5999449999999998,0.13717315816897857,0.2,1.0
latency_05,tabular,19,500000,0.7723186469052802,0.6000099999999998,0.13717455478746224,0.2,1.0
latency_05,tabular,18,500000,0.9333278055158469,0.7999175000000003,0.1572377789852909,0.2,1.0
latency_05,tabular,17,500000,0.7724993838731222,0.6000649999999997,0.13719707627840066,0.2,1.0
baseline,dqn,9,500000,0.9998968737249897,1.249935,0.16553289804339974,0.2,1.0
maker_rebate_only,dqn,15,500000,4.023505277133876e-05,0.10019000000000003,0.09048824209227051,0.1,1.0
taker_fee_only,dqn,17,500000,-0.03932781927126854,0.2520775,0.029503723393766012,0.2,1.0
maker_rebate_only,dqn,3,500000,1.24075046108692e-16,0.10014750000000001,0.09048374180359597,0.1,1.0
maker_rebate_only,dqn,0,500000,0.24877464419391343,0.4441625,0.11830917352709715,0.1,1.0
taker_fee_only,dqn,5,500000,0.3862330605263611,0.42500249999999995,0.07292003718201,0.2,1.0
taker_fee_only,dqn,8,500000,0.08634370809105417,0.44357749999999996,0.04232490768308584,0.2,1.0
baseline,dqn,2,500000,0.49993357403222144,0.624975,0.1032328658030977,0.2,1.0
baseline,dqn,13,500000,0.26595083001254094,0.3284249999999999,0.07407646071284767,0.2,1.0
taker_fee_only,dqn,4,500000,0.26595083001254066,0.30002249999999997,0.06064867646478128,0.2,1.0
taker_fee_only,dqn,19,500000,0.9248956949418238,1.4999525,0.1278751495337496,0.2,1.0
baseline,dqn,7,500000,0.44443387700873427,0.7098850000000001,0.09631709235329651,0.2,1.0
taker_fee_only,dqn,10,500000,0.3969007111623104,0.6832600000000001,0.07400836576055317,0.2,1.0
taker_fee_only,dqn,12,500000,0.772436085616587,0.6000149999999997,0.1123210078052024,0.2,1.0
maker_rebate_only,dqn,17,500000,0.2889965942906976,0.20001000000000005,0.12280799666813944,0.1,1.0
baseline,dqn,16,500000,0.4075726739286871,0.6333025000000001,0.09172384692565322,0.2,1.0
maker_rebate_only,dqn,11,500000,1.24075046108692e-16,0.10005750000000002,0.09048374180359597,0.1,1.0
maker_rebate_only,dqn,12,500000,0.2684674466594516,0.4133224999999999,0.12051181251478316,0.1,1.0
baseline,dqn,8,500000,0.5192700237686086,0.4499999999999999,0.10564236554583918,0.2,1.0
baseline,dqn,12,500000,0.3460992462158296,0.36669999999999997,0.08406369160868027,0.2,1.0
taker_fee_only,dqn,2,500000,-0.07220818530351071,0.35088250000000004,0.02614922264687641,0.2,1.0
maker_rebate_only,dqn,16,500000,1.24075046108692e-16,0.10000250000000004,0.09048374180359597,0.1,1.0
taker_fee_only,dqn,9,500000,0.32604869678783444,0.36256499999999986,0.06677994455305346,0.2,1.0
maker_rebate_only,dqn,6,500000,1.24075046108692e-16,0.21925,0.09048374180359597,0.1,1.0
maker_rebate_only,dqn,14,500000,1.24075046108692e-16,0.10005250000000003,0.09048374180359597,0.1,1.0
baseline,dqn,5,500000,0.38626106816160877,0.4250124999999999,0.08906822454857578,0.2,1.0
baseline,dqn,10,500000,0.38629701545281003,0.5000099999999998,0.0890727039121654,0.2,1.0
maker_rebate_only,dqn,7,500000,1.24075046108692e-16,0.10007250000000001,0.09048374180359597,0.1,1.0
baseline,dqn,14,500000,0.41694944682754204,0.40002000000000004,0.0928922791971172,0.2,1.0
baseline,dqn,6,500000,0.47838734258643556,0.4000000000000001,0.10054800690534592,0.2,1.0
baseline,dqn,11,500000,0.37818312587220854,0.7514525,0.08806163853441397,0.2,1.0
maker_rebate_only,dqn,1,500000,0.6892830003574925,0.40001000000000003,0.16758001150890986,0.1,1.0
maker_rebate_only,dqn,8,500000,1.24075046108692e-16,0.10001250000000002,0.09048374180359597,0.1,1.0
taker_fee_only,dqn,14,500000,0.38627309608568056,0.4000249999999999,0.07292412166554366,0.2,1.0
baseline,dqn,18,500000,0.44571560342989797,0.412555,0.09647680727119311,0.2,1.0
maker_rebate_only,dqn,4,500000,1.24075046108692e-16,0.261495,0.09048374180359597,0.1,1.0
maker_rebate_only,dqn,19,500000,1.24075046108692e-16,0.11525250000000001,0.09048374180359597,0.1,1.0
taker_fee_only,dqn,11,500000,0.4783528035449453,0.40001750000000014,0.08231822169297624,0.2,1.0
maker_rebate_only,dqn,13,500000,1.24075046108692e-16,0.10004500000000002,0.09048374180359597,0.1,1.0
baseline,dqn,0,500000,0.9667438455558617,1.4499975000000003,0.16140172536518607,0.2,1.0
taker_fee_only,dqn,3,500000,0.3367340859038092,0.4000975,0.06787008283603957,0.2,1.0
maker_rebate_only,dqn,9,500000,1.24075046108692e-16,0.10000500000000002,0.09048374180359597,0.1,1.0
taker_fee_only,dqn,7,500000,0.3367473855965775,0.41666499999999995,0.06787143968922305,0.2,1.0
maker_rebate_only,dqn,2,500000,1.24075046108692e-16,0.10000250000000001,0.09048374180359597,0.1,1.0
baseline,dqn,17,500000,0.16887502657582537,0.440535,0.061979921451711814,0.2,1.0
baseline,dqn,4,500000,-1.1137048144804214e-16,0.20003250000000003,0.04093653765389908,0.2,1.0
taker_fee_only,dqn,16,500000,0.47836342321930625,0.3999950000000001,0.08231930512694838,0.2,1.0
taker_fee_only,dqn,6,500000,0.3127333836894493,0.475,0.06542149776174333,0.2,1.0
taker_fee_only,dqn,18,500000,0.7724555013783609,0.5999899999999998,0.11232298862826585,0.2,1.0
taker_fee_only,dqn,15,500000,0.6375106065713018,0.5314599999999998,0.09855572247388873,0.2,1.0
taker_fee_only,dqn,0,500000,0.7059218350697183,0.6000075,0.10553513130615484,0.2,1.0
baseline,dqn,19,500000,0.26599385536585596,0.3000124999999999,0.0740818220681718,0.2,1.0
baseline,dqn,15,500000,0.7719932454317548,0.5998124999999999,0.13713400676662926,0.2,1.0
baseline,dqn,1,500000,0.35957023258664284,0.5799799999999999,0.08574230059003161,0.2,1.0
maker_rebate_only,dqn,18,500000,0.49994993935679416,0.5499825,0.146403117943463,0.1,1.0
baseline,dqn,3,500000,0.9998164984638412,0.9999275,0.1655228825455343,0.2,1.0
maker_rebate_only,dqn,10,500000,2.578450052902324e-05,0.10008500000000001,0.09048662579871258,0.1,1.0
maker_rebate_only,dqn,5,500000,0.007673243240580086,0.12012750000000003,0.09134199368284356,0.1,1.0
taker_fee_only,dqn,13,500000,0.3188898762931077,0.43335250000000003,0.0660495917135242,0.2,1.0
taker_fee_only,dqn,1,500000,0.4220149760381555,0.6333875,0.0765705580488323,0.2,1.0
random_priority,dqn,0,500000,0.4667270024102196,0.5499850000000001,0.099095021117474,0.2,1.0
random_priority,dqn,1,500000,0.2391936712932176,0.3500000000000001,0.07074227227962249,0.2,1.0
random_priority,dqn,2,500000,0.057443273984495995,0.459,0.04809449869508303,0.2,1.0
random_priority,dqn,3,500000,0.7725461921713614,0.6000749999999998,0.13720290902350657,0.2,1.0
random_priority,dqn,7,500000,0.3721560599346553,0.599975,0.08731061060405441,0.2,1.0
random_priority,dqn,4,500000,0.7725208645545213,0.5999924999999997,0.13719975296915882,0.2,1.0
random_priority,dqn,5,500000,0.5149988022454135,1.0666449999999996,0.10511013200236899,0.2,1.0
random_priority,dqn,8,500000,0.12594618823394635,0.4004125,0.05663059278222495,0.2,1.0
random_priority,dqn,11,500000,0.4274785424770338,0.6095,0.09420430149720935,0.2,1.0
random_priority,dqn,12,500000,0.4075289234625467,0.4833175,0.09171839521459213,0.2,1.0
