sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,1,500000,-3.789567494914227e-05,0.500036,0.12130453225452685,0.5,1.3,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,2,500000,0.9785978229205589,0.8999960000000002,0.16261562692048864,0.5,1.3,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,8,500000,-0.00011494685828577328,0.500064,0.12130127969724894,0.5,1.3,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,12,500000,0.7448361032114464,0.7000149999999998,0.14896067149247422,0.4,1.0,0.4285714285714285
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,18,500000,0.0005872735949852278,0.10079900000000003,0.18100633965236695,0.1,0.8,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,17,500000,0.7722747728959948,0.5999289999999998,0.13716908768178734,0.2,1.0,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,15,500000,0.7723279196262455,0.6000199999999998,0.13717571025390438,0.2,1.0,-0.6666666666666667
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.2,split,,12,500000,0.9078904677233156,0.599841,0.19203124598718652,0.1,1.0,0.8333333333333334
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.2,18,500000,0.5669756259644706,0.9999739999999999,0.12644413015107672,0.3,1.1,0.5454545454545455
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.2,5,500000,0.5059674540789845,0.50256,0.12080979854042151,0.3,1.1,0.4
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,11,500000,-9.386968997599622e-05,0.6000149999999997,0.13720016496532608,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,14,500000,0.6454012594713482,0.575,0.19312687100191778,0.1,0.8,-0.3333333333333334
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,2,500000,0.7723130686188941,0.5999909999999997,0.13717385968159765,0.2,1.0,-0.3333333333333335
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,0,500000,0.9985816849671667,1.299716,0.1634592045675254,0.5,1.3,0.923076923076923
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,4,500000,0.42359464015739273,0.550009,0.1733996410650752,0.1,0.8,0.36
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,19,500000,-0.00028160906992514027,0.6000399999999997,0.13719467684896514,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,19,500000,0.9995793600803439,0.999658,0.17467874605508144,0.1,1.0,-1.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,3,500000,0.5562852129494739,0.3000309999999999,0.1852009905830336,0.1,0.8,-1.6666666666666667
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,3,500000,0.8433317367449354,0.5999679999999998,0.15091007648733495,0.1,1.0,0.5
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,19,500000,0.00017272200823014445,0.10030500000000002,0.18097891149057,0.1,0.8,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,7,500000,-1.898944633641474e-15,0.6000249999999997,0.13720290902350654,0.6,1.1,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,15,500000,-9.386968997599622e-05,0.6000099999999997,0.13720016496532608,0.6,1.1,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,4,500000,0.7445567269529216,0.7001559999999998,0.14894251266660735,0.4,1.0,0.4285714285714285
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.2,14,500000,0.755209283430926,1.049708,0.14382820860606163,0.3,1.1,0.2222222222222223
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.2,6,500000,0.8106701533621413,0.7000079999999999,0.14895022624649226,0.3,1.1,0.28571428571428564
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,12,500000,0.7723292613452633,0.5999549999999999,0.1371758774444524,0.2,1.0,0.33333333333333326
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,7,500000,0.9695293637398064,0.7999080000000002,0.17971350885793133,0.1,1.0,0.7500000000000001
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,3,500000,-5.747342914337978e-05,0.500048,0.1213037058198878,0.5,1.3,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,1,500000,-9.386968997599622e-05,0.5999949999999997,0.13720016496532608,0.6,1.1,0.0
