sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,taker_fee,tie_rule,tick_size,memory,priority_share,allocation_noise,maker_rebates,maker_costs,latency_cost,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude,fee_condition,net_fee,heterogeneity
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,2,500000,0.7723130686188941,0.5999909999999997,0.13717385968159765,0.2,1.0,-0.3333333333333335,,,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,0,500000,0.7722839136209437,0.5999009999999998,0.13717022670031004,0.2,1.0,0.5,baseline,0.0,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,2,500000,0.7723130686188941,0.5999909999999997,0.13717385968159765,0.2,1.0,-0.3333333333333335,baseline,0.0,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,5,500000,0.6242740015685548,0.899306,0.11872682835804273,0.2,1.0,-0.6666666666666667,,,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,17,500000,0.7722747728959948,0.5999289999999998,0.13716908768178734,0.2,1.0,0.0,baseline,0.0,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,13,500000,0.5149061064493157,0.7498830000000001,0.10509858125236597,0.2,1.0,0.5294117647058824,,,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,13,500000,0.7725259300778893,0.5999939999999998,0.13720038418002836,0.2,1.0,0.0,baseline,0.0,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,random_priority,,1,0.7,12.0,,,0.0,19,500000,0.8484127856003155,1.0497199999999998,0.14665658536233023,0.2,1.0,0.7142857142857143,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,random_priority,,1,0.7,12.0,,,0.0,5,500000,0.772443864289043,0.5999819999999998,0.13719015802684054,0.2,1.0,0.0,,,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,9,500000,0.8525798043909167,0.699762,0.14717583428552106,0.2,1.0,0.14285714285714296,baseline,0.0,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,0,500000,0.6361262071851939,0.937394,0.12020372234703962,0.2,1.0,0.6842105263157894,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,3,500000,0.4782958002387094,0.725015,0.10053659988563428,0.2,1.0,-0.052631578947368474,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,8,500000,0.9332489420322518,0.799884,0.1572279518688334,0.2,1.0,0.0,,,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,11,500000,0.7724516182260065,0.5999629999999997,0.13719112423880672,0.2,1.0,0.5,baseline,0.0,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,2,500000,0.5856250225910143,0.7000430000000001,0.11391080958659458,0.2,1.0,0.4545454545454546,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,15,500000,0.4526008455945953,0.6124609999999999,0.09733477186400727,0.2,1.0,0.5555555555555556,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,random_priority,,1,0.7,12.0,,,0.0,18,500000,0.5997572563910415,0.55002,0.11567181608829223,0.2,1.0,0.4545454545454546,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,random_priority,,1,0.7,12.0,,,0.0,8,500000,0.9996421185619795,0.9997340000000001,0.16550115320357114,0.2,1.0,0.4,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,6,500000,0.5189417611301453,0.8747980000000001,0.10560146099750109,0.2,1.0,0.33333333333333337,,,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,pro_rata_noise,,1,0.7,12.0,,,0.0,8,500000,0.9995784607373133,0.9997130000000001,0.16549322085227358,0.2,1.0,0.19999999999999996,,,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,3,500000,0.772457171198161,0.5999689999999998,0.1371918161902849,0.2,1.0,0.33333333333333326,baseline,0.0,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,14,500000,0.7725056679844169,0.5999959999999998,0.13719785933655013,0.2,1.0,0.0,baseline,0.0,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,5,500000,0.7723390393879758,0.5999329999999997,0.1371770958786387,0.2,1.0,-0.3333333333333335,baseline,0.0,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,4,500000,0.7723886186130344,0.5999759999999997,0.13718327390674895,0.2,1.0,0.0,baseline,0.0,
allocation_rule,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,18,500000,0.7724491841661505,0.5999609999999997,0.13719082093252885,0.2,1.0,0.33333333333333326,,,
