sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,13,500000,0.7725259300778893,0.5999939999999998,0.13720038418002836,0.2,1.0,0.0
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,3,500000,0.6603563357272667,0.5999799999999997,0.10975331865616454,0.3,1.0,0.0
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,18,500000,0.785039502666798,0.7998990000000002,0.11230421049514358,0.4,1.5,0.5
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,2,500000,0.6603157924115918,0.6000179999999997,0.10974885439658799,0.3,1.0,0.5
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,1,500000,0.6603844674323597,0.6000329999999997,0.10975641626255848,0.3,1.0,0.6666666666666666
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,7,500000,0.9695293637398064,0.7999080000000002,0.17971350885793133,0.1,1.0,0.7500000000000001
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,6,500000,0.7722458398628604,0.5999279999999998,0.1371654823593603,0.2,1.0,0.6666666666666666
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,19,500000,0.9995793600803441,0.999658,0.17467874605508144,0.1,1.0,-1.0
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,10,500000,0.6223320202149111,0.7999390000000001,0.23458240401394828,0.2,2.0,0.25000000000000006
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,15,500000,0.969027422360334,0.7997430000000002,0.17964389066793113,0.1,1.0,0.7500000000000001
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,7,500000,0.6223054624102162,0.7999480000000002,0.23457432397188732,0.2,2.0,0.5
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,15,500000,0.7739137218214407,0.699967,0.12225722071547268,0.3,1.0,0.14285714285714296
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,14,500000,0.6603929952690916,0.5999999999999998,0.10975735527004131,0.3,1.0,0.0
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,8,500000,0.8606703295817515,0.5999529999999998,0.16461499490154038,0.1,1.0,0.5
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,13,500000,0.8433218567643231,0.5999739999999998,0.15090857352690906,0.1,1.0,0.33333333333333326
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,13,500000,0.6223659633960158,0.7999500000000002,0.2345927310095023,0.2,2.0,0.25000000000000006
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,13,500000,0.7725259300778893,0.5999939999999998,0.13720038418002836,0.2,1.0,0.0
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,14,500000,0.7725056679844169,0.5999959999999998,0.13719785933655013,0.2,1.0,0.0
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,2,500000,0.8061344268941137,0.9164780000000001,0.14525155479094184,0.1,1.0,0.7647058823529411
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,17,500000,0.7722747728959948,0.5999289999999998,0.13716908768178734,0.2,1.0,0.0
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,3,500000,0.772457171198161,0.5999689999999998,0.1371918161902849,0.2,1.0,0.33333333333333326
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,15,500000,0.6852285763803089,0.8998910000000002,0.2537182785767937,0.2,2.0,0.11111111111111108
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,11,500000,0.7724516182260065,0.5999629999999997,0.13719112423880672,0.2,1.0,0.5
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,16,500000,0.9332993156981436,0.7999120000000001,0.15723422889158897,0.2,1.0,0.25000000000000006
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,10,500000,0.8433547397291299,0.5999919999999999,0.1509135757426754,0.1,1.0,0.5
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,16,500000,0.9332993156981436,0.7999120000000001,0.15723422889158897,0.2,1.0,0.25000000000000006
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,14,500000,0.7846221025575794,0.799784,0.11226231934623536,0.4,1.5,0.25000000000000006
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,500000,0.7725051592769384,0.6000389999999998,0.13719779594691267,0.2,1.0,0.5
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,7,500000,0.958892482287743,0.7999610000000003,0.16848938500528388,0.1,1.0,0.5
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,12,500000,0.7849512190007075,0.8000010000000002,0.11229535016156753,0.4,1.5,0.25000000000000006
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,0,500000,0.8431935395009083,0.5998899999999998,0.1508890536739421,0.1,1.0,0.5
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,500000,0.7722839136209437,0.5999009999999998,0.13717022670031004,0.2,1.0,0.5
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,7,500000,0.887657404579265,0.7999710000000001,0.13478163606164292,0.3,1.0,0.5
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,9,500000,0.6602706111846173,0.5999779999999998,0.10974387945258444,0.3,1.0,-1.5
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,12,500000,0.6600858363560532,0.5999259999999997,0.10972353373630074,0.3,1.0,0.33333333333333326
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,9,500000,0.9585475855775515,0.7997340000000003,0.16843691869722396,0.1,1.0,0.25000000000000006
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,11,500000,0.7851991235460863,0.7999700000000002,0.11232023038080113,0.4,1.5,0.25000000000000006
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,17,500000,0.4862213251016835,0.6000189999999997,0.0823141925330107,0.4,1.5,0.0
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,7,500000,0.7724549725910291,0.5999959999999998,0.13719154222358518,0.2,1.0,0.6666666666666666
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,0,500000,0.7174148373223485,0.799952,0.1055172574895108,0.4,1.5,-0.24999999999999994
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,18,500000,0.7724491841661505,0.5999609999999997,0.13719082093252885,0.2,1.0,0.33333333333333326
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,12,500000,0.6221062637823854,0.7998970000000001,0.23451371906459736,0.2,2.0,0.0
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,11,500000,0.8606762278699284,0.5999049999999998,0.16461581298142733,0.1,1.0,0.8333333333333334
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,5,500000,0.9587985018233064,0.7998930000000001,0.168475088527953,0.1,1.0,0.625
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,3,500000,0.8607143545120087,0.5999219999999997,0.16462110106469954,0.1,1.0,0.8333333333333334
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,17,500000,0.45998636613784705,0.6000009999999998,0.18518977806361228,0.2,2.0,0.0
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,1,500000,0.6223236994553363,0.7999490000000002,0.2345798724761154,0.2,2.0,0.25000000000000006
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,14,500000,0.7725056679844169,0.5999959999999998,0.13719785933655013,0.2,1.0,0.0
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,4,500000,0.8606315882152105,0.5999189999999998,0.16460962155730732,0.1,1.0,0.8333333333333334
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,15,500000,0.8432056967504591,0.5999399999999997,0.15089090305661593,0.1,1.0,0.5
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,6,500000,0.7849491705234939,0.7999840000000001,0.1122951445721053,0.4,1.5,0.25000000000000006
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,13,500000,0.7852501041406589,0.7999760000000002,0.11232534690001494,0.4,1.5,0.25000000000000006
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,18,500000,0.8607673002339444,0.5999449999999997,0.164628444522482,0.1,1.0,0.6666666666666666
