sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,memory,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,18,500000,0.933493446568581,0.7999810000000002,0.1572584193861603,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,3,500000,0.9999482386940426,0.9999759999999999,0.16553929859165994,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,5,500000,0.9335030143154329,0.7999920000000001,0.15725961161554536,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,17,500000,0.933493446568581,0.8000070000000001,0.1572584193861603,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,10,500000,0.999943689617886,0.9999819999999999,0.16553873173486988,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,11,500000,0.9335065749750575,0.7999870000000001,0.15726005530653137,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,14,500000,0.7724520979350598,0.6000309999999998,0.1371911840149733,0.2,1.0,0.6666666666666666
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,3,500000,0.772457171198161,0.5999689999999998,0.1371918161902849,0.2,1.0,0.33333333333333326
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,4,500000,0.7723886186130344,0.5999759999999997,0.13718327390674895,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,7,500000,0.9334227649805917,0.7999460000000002,0.1572496118092577,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,15,500000,0.7723279196262455,0.6000199999999998,0.13717571025390438,0.2,1.0,-0.6666666666666667
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,2,500000,0.7724718297283318,0.6000259999999997,0.13719364277816204,0.2,1.0,-0.3333333333333335
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,4,500000,0.933480993004478,0.8000040000000003,0.15725686755736487,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,8,500000,0.7723422551326444,0.5999539999999998,0.13717749659004422,0.2,1.0,0.33333333333333326
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,16,500000,0.9332993156981436,0.7999120000000001,0.15723422889158897,0.2,1.0,0.25000000000000006
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,3,500000,0.933411151972386,0.7999780000000002,0.15724816472146932,0.2,1.0,0.5
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,7,500000,0.9999732573647377,0.999992,0.16554241614847237,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,17,500000,0.7722435109865572,0.5999729999999998,0.13716519215992193,0.2,1.0,-0.3333333333333335
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,10,500000,0.7724629997827466,0.6000229999999998,0.1371925424856106,0.2,1.0,-0.3333333333333335
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,17,500000,0.7722747728959948,0.5999289999999998,0.13716908768178734,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,14,500000,0.999952443449588,0.99998,0.16553982254293037,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,19,500000,0.9335200499553769,0.8000140000000003,0.1572617344131955,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,17,500000,0.7723845639713549,0.5999549999999999,0.1371827686610489,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,16,500000,0.7724523054361263,0.6000349999999998,0.13719120987151745,0.2,1.0,0.33333333333333326
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,11,500000,0.7724516182260065,0.5999629999999997,0.13719112423880672,0.2,1.0,0.5
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,12,500000,0.7723292613452633,0.5999549999999999,0.1371758774444524,0.2,1.0,0.33333333333333326
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,19,500000,0.77236322987052,0.5999349999999998,0.13718011023557916,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,4,500000,0.7722655322262675,0.5999429999999998,0.13716793620922468,0.2,1.0,0.0
